Battery Name,Status,Internal Resistance (Ohms),90 degree Anderson Cable,Barrell Connector,Year,,,,,
Candi,Good,0.017,Yes,Yes,?,,Key,,,
Ginger,Good,0.017,Yes,Yes,?,,,Good,,
Lily,Good,0.017,Yes,Yes,2015,,,Not as good of a battery,,
Sabrina,Good,0.017,Yes,Yes,?,,,Bad Battery ,,
Yolanda,Good,0.017,Yes,Yes,?,,,Information not available yet,,
Jasmine,Good,0.017,Yes,Yes,2013,,,,,
Augustina,Good,0.018,Yes,Yes,2015,,,,,
Hannah,Good,0.018,Yes,Yes,2015,,,,,
Heather,Good,0.018,Yes,Yes,?,,,,,
Jennifer,Good,0.018,Yes,Yes,?,,,,,
Mary,Good,0.018,Yes,Yes,2015,,,,,
Brooke,Good,0.018,Yes,Yes,?,,,,,
Keri,Good,0.019,Yes,Yes,?,,,,,
Rosey,Good,0.019,Yes,Yes,?,,,,,
Willamay,Good,0.02,Yes,Yes,2015,,,,,
Bertha,Good,0.021,Yes,Yes,?,,,,,
Brittany,Good,0.021,Yes,Yes,?,,,,,
Amber,Good,0.022,Yes,Yes,?,,,,,
Danielle,Good,0.022,Yes,Yes,?,,,,,
Sydney,Good,0.023,Yes,Yes,?,,,,,
Summer,Good,0.024,Yes,Yes,?,,,,,
Tiffany,Good,0.026,Yes,Yes,?,,,,,
Tanya,Fair,0.027,Yes,Yes,?,,,,,
Daisy,Bad,0.037,Decommissioned,Decommissioned,?,,,,,
Crystal,BAD,0.115,Decommissioned,Decommissioned,?,,,,,
Cinamon,BAD,0.237,Decommissioned,Decommissioned,?,,,,,
,,,,,,,,,,

